Clase, Area, Anchura
pina,33900,203.493
pina,30271,178.915
pina,27153,165.769
pina,25270,167.868
pina,22722,169.757
pina,25323.5,196.469
pina,29545.5,197.106
pina,34979.5,198.464
pina,112112,270.428
pina,46841,269.225
pina,110494,268.988
pina,108650,264.129
pina,110043,241.05
pina,105183,264.1
pina,103158,262.485
pina,103228,260.381
pina,96503.5,260.702
pina,91669.5,267.754
pina,84439.5,267.254
pina,79970,261.87
pina,74532.5,270.137
tomate,79667,300.733
tomate,81887.5,304.806
tomate,81805,304.749
tomate,81788.5,304.75
tomate,82455,305.777
tomate,81412,304.343
tomate,81282.5,304.14
tomate,81105,307
tomate,81030,307
tomate,80860,307
tomate,81186,307
tomate,80749.5,307
tomate,81923.5,309.725
tomate,80720,307
tomate,80363.5,302.823
tomate,80628,307
tomate,80572.5,307.025
tomate,80522,307.878
tomate,80349.5,307.524
tomate,80301,307.045
tomate,80291,306.235
tomate,80429.5,306
tomate,80461.5,307
tomate,80399,307
tomate,80182,302.158
tomate,80379,307
tomate,80260,308
tomate,80216,308
tomate,79912.5,307
tomate,79751,307
tomate,79310.5,306
tomate,78900,305.788
tomate,78520.5,304.332
tomate,80099.5,301.782
tomate,77988.5,302.243
tomate,77959.5,302.117
tomate,77990,301.679
tomate,78157.5,301.651
tomate,78350.5,301.89
tomate,78542.5,302.536
tomate,78837.5,303.067
tomate,78938,304.125
tomate,79166.5,304.981
tomate,80067.5,301.989
tomate,79604,307.6
tomate,79738.5,307
tomate,79902.5,307
tomate,80000,307
tomate,80167.5,308
tomate,80793.5,309
tomate,81154.5,310
tomate,81528.5,310
tomate,81769,313.428
tomate,80043.5,301.858
tomate,81830.5,312.931
tomate,81852.5,309
tomate,81741.5,308
tomate,81474,307
tomate,81342,307
tomate,81398.5,308
tomate,81296.5,309
tomate,81301,309
tomate,81103,309
tomate,81090.5,309
tomate,80088.5,301.44
tomate,80181,302
tomate,80521.5,306
tomate,80330,302
tomate,80422,303.661
tomate,80606,304.279
tomate,80767.5,303
tomate,80837.5,304.154
tomate,80892,303.908
tomate,80849.5,303.824
tomate,80777,305.715
tomate,80723,305.972
